UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
237640,Ohio Valley University,1828117,15258494,0,25007359,24681089,0,-3205453,3531723,1416595,2115128,326270,11375983,9848047,0,1527936,-1201666,0,326270,145050
204909,Ohio Wesleyan University,195598539,121155534,0,357528554,77275274,34412329,64945800,215307480,145338123,69969357,280253280,88373101,66787999,6537051,28122153,252131127,0,280253280,16732951
194189,Ohr Hameir Theological Seminary,0,2038796,0,2847285,305132,0,2542153,0,0,0,2542153,3520950,3441500,0,79450,2462703,0,2542153,0
207403,Oklahoma Baptist University,111856038,61791702,0,186221675,17478044,8757908,59147333,109596298,84691453,24904845,168743631,47200508,37093660,0,10106848,158636783,0,168743631,11007897
207324,Oklahoma Christian University,40061824,69637789,0,125025213,87593364,45216858,-4972422,42404271,22100818,20303453,37431849,47107508,54708371,15089057,7488194,29943655,0,37431849,783325
207458,Oklahoma City University,85966813,166629711,1309598,277474691,95275150,57339803,85651335,96548206,63116428,33431778,182199541,89207712,77760672,0,11447040,170752501,0,182199541,13964804
206835,Oklahoma Wesleyan University,2186776,23237835,0,34945628,2645743,0,27094180,5205705,3285722,1919983,32299885,21199731,16647363,0,4552368,27747517,0,32299885,439938
171599,Olivet College,13680373,25617753,0,42083362,13166160,0,13837948,15079254,13565435,1513819,28917202,20989637,19215549,0,1774088,27143114,0,28917202,1210471
147828,Olivet Nazarene University,29908991,180491748,0,266120967,131931077,106087787,110762257,23427633,16222563,7205070,134189890,80989080,76443551,23560,4569089,129620801,0,134189890,171318
207582,Oral Roberts University,43615186,81858664,0,190593772,35874257,176923,85304746,69414769,40490533,28924236,154719515,99215986,98266910,269427,1218503,153501012,0,154719515,3269033
209533,Oregon College of Art and Craft,0,11149453,0,13621923,3582662,2527676,-229103,10268364,0,10268364,10039261,5426986,5938062,0,-511076,10550337,0,10039261,6006
369659,Oregon College of Oriental Medicine,5796446,14768031,0,22899019,20100495,19349060,2704941,93583,0,93583,2798524,6344139,7220393,0,-876254,3687660,-12882,2798524,89237
120403,Otis College of Art and Design,28804558,21754727,0,55383649,9811569,2535000,27059122,18512958,8486186,10026772,45572080,39586100,38796596,0,789504,44782576,0,45572080,1354495
442897,Ottawa University-Jeffersonville,,,,,,,,,,,,,,,,,,,
155636,Ottawa University-Kansas City,,,,,,,,,,,,,,,,,,,
428259,Ottawa University-Milwaukee,,,,,,,,,,,,,,,,,,,
454582,Ottawa University-Online,,,,,,,,,,,,,,,,,,,
155627,Ottawa University-Ottawa,21320919,19336739,0,53653246,30665230,12635000,8906197,14081819,12396635,1685184,22988016,41363126,39968298,0,1394828,21593188,0,22988016,2078830
105367,Ottawa University-Phoenix,,,,,,,,,,,,,,,,,,,
204936,Otterbein University,86266127,89953969,0,214733883,51137423,39963549,102110638,61485822,30519246,30966576,163596460,74151369,61560264,51644,12642749,150953711,0,163596460,9409871
107512,Ouachita Baptist University,97011986,94474411,0,202861591,88888331,82567999,18217722,95755538,84143933,11611605,113973260,47127016,40296624,0,6830392,107142868,0,113973260,10561133
160065,Our Lady of Holy Cross College,27532833,6658952,0,39463418,554263,0,26269113,12640042,9349902,3290140,38909155,16327412,12950906,0,3376506,35532649,0,38909155,3272192
160074,Our Lady of the Lake College,3238819,2034126,0,20666250,8753891,0,3175804,8736555,5300000,3436555,11912359,24382534,22540764,0,1841770,10070592,-3,11912359,65167
227331,Our Lady of the Lake University,11827754,46092479,0,113156851,39221291,4570000,54938146,18997414,7499389,11498025,73935560,46001512,44577501,0,1424011,72511549,0,73935560,4163258
461120,Oxford Graduate School,0,1791416,0,2894295,1357901,388681,1331369,205025,0,205025,1536394,774984,510569,0,264415,1271979,0,1536394,0
178679,Ozark Christian College,7744242,6450094,0,16388586,1881598,0,9802980,4704008,2903693,1800315,14506988,11004413,10009731,0,994682,13512306,0,14506988,494248
194310,Pace University-New York,139871214,269309259,0,477836641,317016848,124539721,8864584,151955209,76994157,74961052,160819793,341661904,322541300,1140106,20260710,140559083,0,160819793,18572048
120740,Pacific Lutheran Theological Seminary,12253781,1110664,0,14133196,1626268,0,663530,11843398,8546362,3297036,12506928,3280321,3492011,2218968,2007278,10499650,0,12506928,390000
236230,Pacific Lutheran University,88469474,120517578,0,244376714,86005285,0,61572824,96798605,75216582,21582023,158371429,105319932,102178931,996174,4137175,154234254,0,158371429,8593688
209603,Pacific Northwest College of Art,12930710,13391798,0,36688403,6077504,4188471,2496266,28114633,12595885,15518748,30610899,16758930,14373157,-1906294,479479,28181506,1949914,30610899,1620181
455406,Pacific Northwest University of Health Sciences,250000,35261310,0,44354495,35855242,29473630,8412589,86664,0,86664,8499253,17260659,14852870,0,2407789,6091464,0,8499253,7526
120768,Pacific Oaks College,0,215847,0,14726429,3749096,0,5222178,5755155,3998938,1756217,10977333,14841678,13001130,0,1840548,9136785,0,10977333,855333
