"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"154350","Simpson College","2009","5199803","318","31003"
"154493","Upper Iowa University","2009",,"79","1360"
"154527","Wartburg College","2009",,"158","19352"
"154536","Wartburg Theological Seminary","2009",,"46","56277"
"154590","William Penn University","2009","3379070","76","4295"
"154688","Baker University","2009",,"115","6750"
"154712","Benedictine College","2009",,"63","10312"
"154721","Bethany College","2009","3558938","61","36346"
"154749","Bethel College-North Newton","2009",,"100","26516"
"154837","Central Baptist Theological Seminary","2009","1699539","18","53465"
"154855","Central Christian College of Kansas","2009",,"59","19699"
"155007","Donnelly College","2009","891212","50","10176"
"155070","Barclay College","2009",,"46","1147"
"155089","Friends University","2009",,"106","15111"
"155335","Newman University","2009","1698332","111","9024"
"155414","Kansas Wesleyan University","2009",,"145","20179"
"155496","Manhattan Christian College","2009","1789939","58","5684"
"155511","McPherson College","2009","2725134","42","48297"
"155520","MidAmerica Nazarene University","2009",,"81","3487"
"155627","Ottawa University-Ottawa","2009",,"103","18842"
"155636","Ottawa University-Kansas City","2009",,"103","2087"
"155812","University of Saint Mary","2009","5642113","62","9920"
"155900","Southwestern College","2009","2884485","85","9962"
"155937","Sterling College","2009",,"83","17013"
"155973","Tabor College","2009",,"69","7257"
"156189","Alice Lloyd College","2009",,"45","37090"
"156213","Asbury University","2009",,"105","19924"
"156222","Asbury Theological Seminary","2009",,,"60804"
"156286","Bellarmine University","2009",,"97","10058"
"156295","Berea College","2009",,,"510129"
"156356","Brescia University","2009","1201524","103","13763"
"156365","Campbellsville University","2009",,"78","3149"
"156408","Centre College","2009","9120523",,"135037"
"156417","Clear Creek Baptist Bible College","2009",,"47","78026"
"156541","University of the Cumberlands","2009","6527748","88","24615"
"156727","Frontier Nursing University","2009",,"152","15886"
"156745","Georgetown College","2009",,"109","19470"
"157030","Kentucky Mountain Bible College","2009",,"36","21462"
"157076","Kentucky Wesleyan College","2009","2660016","65","27267"
"157100","Kentucky Christian University","2009",,"49","7654"
"157207","Lexington Theological Seminary","2009",,,"210879"
"157216","Lindsey Wilson College","2009",,"84","7685"
"157298","Louisville Presbyterian Theological Seminary","2009","1809374",,"435393"
"157359","Mid-Continent University","2009","200925","98","1907"
"157377","Midway College","2009","1317243","116","8124"
"157535","University of Pikeville","2009",,"97","14105"
"157632","Saint Catharine College","2009",,"79","966"
"157757","Spalding University","2009","2113487","84","5319"
"157809","Thomas More College","2009","2188427","87","7515"
"157818","Transylvania University","2009",,"3901","87254"
"157863","Union College","2009",,"96","10837"
"158477","Centenary College of Louisiana","2009","13987082","110","117493"
"158802","Dillard University","2009","5289934","28","36769"
"159568","Louisiana College","2009",,"53","21140"
"159656","Loyola University New Orleans","2009",,"157","59181"
"160029","Notre Dame Seminary Graduate School of Theology","2009",,"89","23121"
"160065","Our Lady of Holy Cross College","2009",,"88","17516"
"160074","Our Lady of the Lake College","2009","2154068","53","4885"
"160409","Saint Joseph Seminary College","2009",,"37","16934"
"160755","Tulane University of Louisiana","2009",,"66","80390"
"160904","Xavier University of Louisiana","2009",,"44","25557"
"160959","College of the Atlantic","2009",,"68","67103"
"160977","Bates College","2009","8293117","830","104817"
