UnitID,Institution Name,Long-term investments (F1112_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1112_F2_RV),Intangible Assets  net of accumulated amortization (F1112_F2_RV),Total assets (F1112_F2_RV),Total liabilities (F1112_F2_RV),Debt related to Property  Plant  and Equipment (F1112_F2_RV),Total unrestricted net assets (F1112_F2_RV),Total restricted net assets (F1112_F2_RV),Permanently restricted net assets included in total restricted net assets (F1112_F2_RV),Temporarily restricted net assets (F1112_F2_RV),Total net assets (F1112_F2_RV),Total revenues and investment return (F1112_F2_RV),Total expenses (F1112_F2_RV),Other specific changes in net assets (F1112_F2_RV),Total change in net assets (F1112_F2_RV),Net assets  beginning of the year (F1112_F2_RV),Adjustments to beginning of year net assets (F1112_F2_RV),Net assets  end of the year (F1112_F2_RV),Investment return - Total (F1112_F2_RV)
170301,Hope College,158733730,153048914,0,406720486,107623203,64325000,125128683,173968600,119007807,54960793,299097283,101362209,96277334,0,5084875,294012408,0,299097283,-8357439
120537,Hope International University,1330810,12485481,7428335,21244626,10420473,7045150,4123488,6700665,4740908,1959757,10824153,18893367,18152810,0,740557,10083596,0,10824153,202698
457226,Horizon University,0,111128,0,140911,32547,0,108364,0,0,0,108364,433160,339528,-4808,88824,19540,0,108364,19
191676,Houghton College,47967846,30862374,0,90582578,29364568,18957063,15219441,45998569,33733173,12265396,61218010,35872942,33572464,-306917,1993561,59224449,0,61218010,-2111806
225399,Houston Baptist University,73190073,118605342,18085306,209880721,85339894,70305024,68430791,56110036,42259776,13850260,124540827,35822259,48999575,227931,-12949385,137490212,0,124540827,-7686905
246345,Houston Graduate School of Theology,163085,41504,0,499381,400312,0,38457,60612,33744,26868,99069,1412626,1307144,-1200,104282,-5213,0,99069,0
225548,Howard Payne University,44732058,34534128,115561,89827755,14957910,10475682,28624627,46245218,26850753,19394465,74869845,21927164,21640328,0,286836,74583009,0,74869845,2690800
131520,Howard University,493114000,608441000,0,1438246000,979261000,345663000,143977000,315008000,114545000,200463000,458985000,692683000,841601000,0,-148918000,607903000,0,458985000,-117897000
164368,Hult International Business School,3101445,710308,0,3811753,1733304,0,2071339,7110,7110,0,2078449,18963953,18242656,0,721297,0,1357152,2078449,0
115773,Humphreys College-Stockton and Modesto Campuses,732247,13878756,30755,22636537,6503150,5755920,16133387,0,0,0,16133387,13259511,11404663,0,1854848,14278539,0,16133387,72217
101435,Huntingdon College,40852326,26095921,0,72858565,28092189,23872415,3694391,41071985,40085170,986815,44766376,16915692,18866756,0,-1951064,46717440,0,44766376,-939722
150941,Huntington University,22007291,49935538,0,76142747,17521166,8300000,39083735,19537846,16043877,3493969,58621581,23393141,25996472,0,-2603331,61224912,0,58621581,-659128
449348,Huntsville Bible College,0,86489,0,517392,280356,265181,237036,0,0,0,237036,413359,392523,1,20837,216199,0,237036,0
161165,Husson University,9738266,63496802,0,79043311,23896056,0,38300705,16846550,8462088,8384462,55147255,50542002,44710641,0,5831361,49315894,0,55147255,173013
225575,Huston-Tillotson University,9416251,12224218,0,27698278,10014033,8608626,7317494,10366751,8656487,1710264,17684245,17738662,17910183,0,-171521,17855766,0,17684245,-382296
193405,Icahn School of Medicine at Mount Sinai,619426000,823798000,0,2082953000,1161996000,659196000,331995000,588962000,238733000,350229000,920957000,1396354000,1412137000,0,-15783000,936740000,0,920957000,3758000
127273,Iliff School of Theology,23130746,5816133,0,31103252,1491399,0,12555359,17056494,4739628,12316866,29611853,4385233,7679052,0,-3293819,32905672,0,29611853,-1558498
145691,Illinois College,129146191,70881093,226555,207970234,32419723,17728392,82022093,93528418,46229691,47298727,175550511,29700435,29041766,0,658669,174891842,0,175550511,10260653
145628,Illinois College of Optometry,35479179,32933465,0,95482569,58941545,0,33708678,2832346,766126,2066220,36541024,35438682,32177491,-125730,3135461,33405563,0,36541024,78495
145725,Illinois Institute of Technology,176439000,274147000,0,550198000,283590000,203660000,42479000,224129000,200156000,23973000,266608000,241308000,248503000,308000,-6887000,273495000,0,266608000,-6624000
145646,Illinois Wesleyan University,193297371,128714322,0,356996117,127527744,82312170,134350559,95117814,68805179,26312635,229468373,77526744,73431255,-1300000,2795489,226672884,0,229468373,10071633
213011,Immaculata University,19229884,61466962,0,91947777,54026050,44903902,24088162,13833565,6786328,7047237,37921727,54905716,54254514,0,651202,37270525,0,37921727,-789220
465812,Independence University,,,,,,,,,,,,,,,,,,,
151290,Indiana Institute of Technology,56809483,60282156,0,138916759,24467080,18035000,99377937,15071742,9331693,5740049,114449679,53371538,36930110,0,16441428,98008251,0,114449679,-162559
151801,Indiana Wesleyan University,99972910,280241214,0,444036343,78776855,15000000,307352528,57906960,11386128,46520832,365259488,186847326,179232027,0,7615299,357644189,0,365259488,927581
145886,Institute for Clinical Social Work,415322,3781,0,1462735,44335,0,1254432,163968,50000,113968,1418400,1243199,1158300,0,84899,1333501,0,1418400,-10003
462044,Institute for Doctoral Studies in the Visual Arts,6778,3743,0,218950,124763,0,94187,0,0,0,94187,692254,661508,0,30746,63441,0,94187,1989
445869,Institute for the Psychological Sciences,404955,22031,0,2543736,234230,0,-103177,2412683,104955,2307728,2309506,2913937,3456138,0,-542201,2851707,0,2309506,-8073
454838,Institute of Taoist Education and Acupuncture,0,90612,0,307800,4568,0,303232,0,0,0,303232,601698,543251,0,58447,244785,0,303232,42
